ticker,rvol_15m,momentum_1h,rsi_14,decayed_sentiment,rag_historical_win_rate,sector_beta,excess_momentum,cat_EARNINGS,cat_FDA_APPROVAL,cat_CONTRACT_WIN,cat_MANAGEMENT_CHANGE,cat_OFFERING_DILUTION,cat_RUMOR,cat_OTHER,pred_class,pred_prob
OGI,0.38473966439804297,0.0490196078431373,66.83178591963616,-0.00041978058288805187,0.5,1.1138993888806492,0.050467725319264585,0,0,0,0,0,0,1,0,0.0
TISI,0.7177859666076487,-0.0351399642644431,38.96821819251435,-0.015073414891958237,0.5,0.29127489923736427,-0.03481954051369857,0,0,0,0,0,0,1,0,0.0
ACVA,0.007032677448860905,0.011111111111111072,41.05391268440319,-0.03565051406621933,0.5,1.9811590409736146,0.012564833307809518,0,0,0,0,0,0,1,0,0.0
PLBY,0.7490809090585654,0.021739130434782705,55.88687424094882,-0.28679683804512024,0.5,1.3164918374759262,0.02217842963308624,0,0,0,0,0,0,1,0,0.0
